query_id	doc_id	score
RN001	RN001	0
RN002	RN002	2
RN003	RN003	2
RN004	RN004	1
RN005	RN005	2
RN006	RN006	1
RN007	RN007	2
RN008	RN008	2
RN009	RN009	2
RN010	RN010	2
RN011	RN011	2
RN012	RN012	2
RN013	RN013	2
RN014	RN014	2
RN015	RN015	2
RN016	RN016	2
RN017	RN017	2
RN018	RN018	2
RN019	RN019	2
RN020	RN020	2
RN021	RN021	2
RN022	RN022	1
RN023	RN023	2
RN024	RN024	2
RN025	RN025	2
RN026	RN026	2
RN027	RN027	2
RN028	RN028	2
RN029	RN029	2
RN030	RN030	0
RN031	RN031	1
RN032	RN032	0
RN033	RN033	0
RN034	RN034	2
RN035	RN035	2
RN036	RN036	1
RN037	RN037	2
RN038	RN038	2
RN039	RN039	2
RN040	RN040	0
RN041	RN041	2
RN042	RN042	1
RN043	RN043	2
RN044	RN044	1
RN045	RN045	1
RN046	RN046	2
RN047	RN047	2
RN048	RN048	2
RN049	RN049	1
RN050	RN050	1
RN051	RN051	0
RN052	RN052	0
RN053	RN053	0
RN054	RN054	1
RN055	RN055	2
RN056	RN056	1
RN057	RN057	2
RN058	RN058	1
RN059	RN059	2
RN060	RN060	0
RN061	RN061	2
RN062	RN062	2
RN063	RN063	2
RN064	RN064	1
RN065	RN065	2
RN066	RN066	2
RN067	RN067	2
RN068	RN068	1
RN069	RN069	2
RN070	RN070	0
RN071	RN071	0
RN072	RN072	1
RN073	RN073	1
RN074	RN074	0
RN075	RN075	2
RN076	RN076	0
RN077	RN077	2
RN078	RN078	1
RN079	RN079	2
RN080	RN080	2
RN081	RN081	2
RN082	RN082	2
RN083	RN083	1
RN084	RN084	2
RN085	RN085	2
RN086	RN086	2
RN087	RN087	2
RN088	RN088	0
RN089	RN089	2
RN090	RN090	2
RN091	RN091	0
RN092	RN092	2
RN093	RN093	2
RN094	RN094	2
RN095	RN095	2
RN096	RN096	2
RN097	RN097	0
RN098	RN098	2
RN099	RN099	2
RN100	RN100	1
RN101	RN101	2
RN102	RN102	2
RN103	RN103	2
RN104	RN104	2
RN105	RN105	2
RN106	RN106	2
RN107	RN107	1
RN108	RN108	2
RN109	RN109	1
RN110	RN110	2
RN111	RN111	2
RN112	RN112	2
RN113	RN113	2
RN114	RN114	1
RN115	RN115	2
RN116	RN116	2
RN117	RN117	2
RN118	RN118	1
RN119	RN119	2
RN120	RN120	2
RN121	RN121	1
RN122	RN122	2
RN123	RN123	2
RN124	RN124	2
RN125	RN125	1
RN126	RN126	2
RN127	RN127	2
RN128	RN128	2
RN129	RN129	1
RN130	RN130	2
RN131	RN131	2
RN132	RN132	2
RN133	RN133	2
RN134	RN134	2
RN135	RN135	2
RN136	RN136	2
RN137	RN137	1
RN138	RN138	2
RN139	RN139	2
RN140	RN140	2
RN141	RN141	2
RN142	RN142	1
RN143	RN143	2
RN144	RN144	2
RN145	RN145	2
RN146	RN146	1
RN147	RN147	2
RN148	RN148	2
RN149	RN149	2
RN150	RN150	2
RN151	RN151	2
RN152	RN152	2
RN153	RN153	2
RN154	RN154	2
RN155	RN155	2
RN156	RN156	2
RN157	RN157	2
RN158	RN158	2
RN159	RN159	2
RN160	RN160	2
RN161	RN161	2
RN162	RN162	2
RN163	RN163	2
RN164	RN164	2
RN165	RN165	2
RN166	RN166	2
RN167	RN167	2
RN168	RN168	2
RN169	RN169	2
RN170	RN170	2
RN171	RN171	2
RN172	RN172	2
RN173	RN173	2
RN174	RN174	2
RN175	RN175	2
RN176	RN176	2
RN177	RN177	2
RN178	RN178	2
RN179	RN179	2
RN180	RN180	2
RN181	RN181	2
RN182	RN182	1
RN183	RN183	2
RN184	RN184	2
RN185	RN185	2
RN186	RN186	2
RN187	RN187	2
RN188	RN188	1
RN189	RN189	1
RN190	RN190	1
RN191	RN191	2
RN192	RN192	2
RN193	RN193	2
RN194	RN194	2
RN195	RN195	2
RN196	RN196	1
RN197	RN197	2
RN198	RN198	2
RN199	RN199	2
RN200	RN200	2
RN201	RN201	2
RN202	RN202	2
RN203	RN203	2
RN204	RN204	2
RN205	RN205	2
RN206	RN206	2
RN207	RN207	2
RN208	RN208	2
RN209	RN209	2
RN210	RN210	2
RN211	RN211	2
RN212	RN212	2
RN213	RN213	1
RN214	RN214	2
RN215	RN215	2
RN216	RN216	2
RN217	RN217	1
RN218	RN218	2
RN219	RN219	1
RN220	RN220	2
RN221	RN221	2
RN222	RN222	2
RN223	RN223	2
RN224	RN224	1
RN225	RN225	1
RN226	RN226	2
RN227	RN227	1
RN228	RN228	2
RN229	RN229	1
RN230	RN230	2
RN231	RN231	1
RN232	RN232	1
RN233	RN233	2
RN234	RN234	2
RN235	RN235	2
RN236	RN236	1
RN237	RN237	1
RN238	RN238	1
RN239	RN239	2
RN240	RN240	1
RN241	RN241	2
RN242	RN242	2
RN243	RN243	2
RN244	RN244	2
RN245	RN245	1
RN246	RN246	2
RN247	RN247	2
RN248	RN248	2
RN249	RN249	2
RN250	RN250	1
RN251	RN251	2
RN252	RN252	2
RN253	RN253	2
RN254	RN254	1
RN255	RN255	2
RN256	RN256	2
RN257	RN257	1
RN258	RN258	2
RN259	RN259	1
RN260	RN260	2
RN261	RN261	2
RN262	RN262	1
RN263	RN263	2
RN264	RN264	2
RN265	RN265	2
RN266	RN266	2
RN267	RN267	1
RN268	RN268	2
RN269	RN269	1
RN270	RN270	1
RN271	RN271	1
RN272	RN272	2
RN273	RN273	2
RN274	RN274	1
RN275	RN275	2
RN276	RN276	2
RN277	RN277	2
RN278	RN278	1
RN279	RN279	2
RN280	RN280	1
RN281	RN281	1
RN282	RN282	1
RN283	RN283	2
RN284	RN284	2
RN285	RN285	1
RN286	RN286	1
RN287	RN287	1
RN288	RN288	2
RN289	RN289	2
RN290	RN290	2
RN291	RN291	1
RN292	RN292	1
RN293	RN293	2
RN294	RN294	2
RN295	RN295	1
RN296	RN296	1
RN297	RN297	1
RN298	RN298	0
RN299	RN299	0
RN300	RN300	1
